meeting	sequence	date	type	speaker	statement	newcode	mem_num
201609	0	2016-09-21	meeting	YELLEN	Good afternoon, everyone.	50.0	65.0
201609	1	2016-09-21	meeting	YELLEN	Let’s get under way.	50.0	65.0
201609	2	2016-09-21	meeting	YELLEN	Today’s meeting, as usual, will be a joint meeting of the FOMC and the Board of Governors, so I need a motion to close the Board meeting.	50.0	65.0
201609	3	2016-09-21	meeting	FISCHER	So moved.	50.0	108.0
201609	4	2016-09-21	meeting	YELLEN	Thank you.	50.0	65.0
201609	5	2016-09-21	meeting	YELLEN	Without objection.	50.0	65.0
201609	6	2016-09-21	meeting	YELLEN	Our first agenda item is the selection of a Committee officer.	51.0	65.0
201609	7	2016-09-21	meeting	YELLEN	As many of you know, Michael Held, who is seated near the anteroom door, has been appointed general counsel and executive vice president of the Federal Reserve Bank of New York.	51.0	65.0
201609	8	2016-09-21	meeting	YELLEN	I am pleased to recommend that the Committee select Michael as its deputy general counsel.	51.0	65.0
201609	9	2016-09-21	meeting	YELLEN	Consistent with the Committee’s standard practice for appointment of its officers, this selection would be effective until the Committee’s first regularly scheduled meeting in 2017.	51.0	65.0
201609	10	2016-09-21	meeting	YELLEN	Michael has been with the New York Federal Reserve for the past 18 years and is a highly experienced central banking attorney.	51.0	65.0
201609	11	2016-09-21	meeting	YELLEN	Vice Chairman, would you like to make a comment?	51.0	65.0
201609	12	2016-09-21	meeting	DUDLEY	Yes.	51.0	96.0
201609	13	2016-09-21	meeting	DUDLEY	First, I’d like to second the notion of him becoming the deputy general counsel for the FOMC.	51.0	96.0
201609	14	2016-09-21	meeting	DUDLEY	He has big shoes to fill with Tom Baxter retiring from the New York Fed, but I’m sure he will do so very ably.	51.0	96.0
201609	15	2016-09-21	meeting	DUDLEY	I’ve worked with him for many years, and I very much trust his knowledge and his judgment.	51.0	96.0
201609	16	2016-09-21	meeting	DUDLEY	It’s nice to have him here at the FOMC on a more permanent basis, taking a seat next to Scott, who’s not here today, but—	51.0	96.0
201609	17	2016-09-21	meeting	DUDLEY	[laughter]—we will be seeing Michael there on a regular basis.	51.0	96.0
201609	18	2016-09-21	meeting	DUDLEY	I’m very pleased.	51.0	96.0
201609	19	2016-09-21	meeting	DUDLEY	Thank you.	51.0	96.0
201609	20	2016-09-21	meeting	YELLEN	Thank you.	51.0	65.0
201609	21	2016-09-21	meeting	YELLEN	Any discussion or any objections?	51.0	65.0
201609	22	2016-09-21	meeting	YELLEN	Okay.	51.0	65.0
201609	23	2016-09-21	meeting	YELLEN	Seeing none, the selection is approved unanimously by the Committee.	51.0	65.0
201609	24	2016-09-21	meeting	YELLEN	And congratulations, Michael, we are looking forward to working with you in your new role.	51.0	65.0
201609	25	2016-09-21	meeting	YELLEN	That takes us to the second agenda item, which concerns proposed revisions of the documents governing foreign currency operations.	64.0	65.0
