meeting	sequence	speaker	statement	code	code2	section	fomc	mem_num
199402	0	GREENSPAN	 As you know, this is our organizational meeting and always in such meetings we have the election of the Chairman and Vice Chairman. I turn to our senior Board member to offer nominations. 	3	3	0.0	1.0	47.0
199402	1	KELLEY	 Mr. Chairman, I have the high honor and distinct privilege to nominate officers to serve until the election of their successors at the first meeting of the Committee after December 31, 1994. For Chairman of the Committee I nominate Alan Greenspan and for Vice Chairman, William J. McDonough. 	3	3	0.0	1.0	48.0
199402	2	SPEAKER	 (?) . Second. 	3	3	0.0	0.0	999.0
199402	3	KELLEY	 Thank you. I move the nominations cease. 	3	3	0.0	1.0	48.0
199402	4	SPEAKER	 Second. 	3	3	0.0	0.0	999.0
199402	5	KELLEY	 You're a little slow but thank you! It's been moved and seconded and the nominations have ceased. 	3	3	0.0	1.0	48.0
199402	6	GREENSPAN	 The nominations have ceased and what happens now? 	3	3	0.0	1.0	47.0
199402	7	KELLEY	 I guess we vote. All in favor—do I do that? 	3	3	0.0	1.0	48.0
199402	8	GREENSPAN	 Yes, please carry on. 	3	3	0.0	1.0	47.0
199402	9	KELLEY	" All in favor say ""Aye."" "	3	3	0.0	1.0	48.0
199402	10	SPEAKERS	 Aye. 	3	3	0.0	0.0	999.0
199402	11	KELLEY	 Opposed? Mr. Chairman, it unanimously passes. Congratulations on your election to another term as Chairman of the FOMC, and congratulations, Mr. Vice Chairman. 	3	3	0.0	1.0	48.0
199402	12	GREENSPAN	 I thank you, Governor. It's always a wonder how the democratic process works in this organization. I think we want to go next to filling the staff officer positions and I call on our distinguished Deputy Secretary. 	3	3	0.0	1.0	47.0
199402	13	BERNARD	 Secretary and Economist, Donald Kohn; Deputy Secretary, Normand Bernard; Assistant Secretaries, Joseph Coyne and Gary Gillum; General Counsel, J. Virgil Mattingly; Deputy General Counsel, Ernest Patrikis; Economists, Michael Prell and Edwin Truman. Associate Economists from the Board of Governors: David Lindsey; Larry Promisel; Charles Siegman; Thomas Simpson; and ﻿ David Stockton. Associate Economists from the Federal Reserve Banks: Jack Beebe, proposed by President Parry; John Davis, proposed by President Jordan; Richard Davis, proposed by President McDonough; Marvin Goodfriend, proposed by President Broaddus; and Sheila Tschinkel, proposed by President Forrestal. That's the list, Mr. Chairman. 	3	3	0.0	0.0	999.0
