meeting	sequence	date	type	speaker	statement	code2	code
201501	0	2015-01-28	meeting	YELLEN	Good morning, everyone.	5	5
201501	1	2015-01-28	meeting	YELLEN	As you may have noted, we have a very full agenda for this meeting.	5	5
201501	2	2015-01-28	meeting	YELLEN	In addition to quite a bit of normal beginning-of-the-year organizational business, I’m hoping for a thorough discussion of several important topics relating to normalization that should serve to prepare us for decisions we may face in the months ahead.	5	5
201501	3	2015-01-28	meeting	YELLEN	But before we turn to that agenda, I’d like to welcome Presidents Evans, Lacker, Lockhart, and Williams back to the Committee and note that this is the last FOMC meeting for both Presidents Fisher and Plosser.	5	5
201501	4	2015-01-28	meeting	YELLEN	Tomorrow, as you know, we will have a farewell luncheon in honor of President Plosser, and, in the spring, we’ll have a farewell meal for President Fisher.	5	5
201501	5	2015-01-28	meeting	YELLEN	We’ll have a chance to thank each of them for their service then.	5	5
201501	6	2015-01-28	meeting	YELLEN	But I’d like to take this opportunity to briefly thank them here as well.	5	5
201501	7	2015-01-28	meeting	YELLEN	President Fisher started attending FOMC meetings in 2005 and has since participated in 78 regular meetings.	5	5
201501	8	2015-01-28	meeting	YELLEN	He brought to this table unique perspectives based on decades of experience as a market participant and as a senior government official.	5	5
201501	9	2015-01-28	meeting	YELLEN	He regularly reported at this table economic insights reflecting information gleaned from his deep set of contacts across the country and the globe, and few of us will ever forget his imaginative metaphors.	5	5
201501	10	2015-01-28	meeting	YELLEN	[Laughter]	5	5
201501	11	2015-01-28	meeting	YELLEN	President Plosser began attending FOMC meetings in 2006 and has since participated in 69 regular meetings.	5	5
201501	12	2015-01-28	meeting	YELLEN	He brought with him rich academic experience in macroeconomic research, including a long list of publications covering a wide range of topics.	5	5
201501	13	2015-01-28	meeting	YELLEN	With this deep experience paired with a sharp intellect, he regularly challenged this group to think rigorously and communicate clearly.	5	5
201501	14	2015-01-28	meeting	YELLEN	Both President Fisher and President Plosser have helped steer this Committee and the American economy through some of the most challenging and tumultuous times in several generations.	5	5
201501	15	2015-01-28	meeting	YELLEN	Richard and Charlie, let me say that we thank you for your service and want you to know that you will be missed.	5	5
201501	16	2015-01-28	meeting	PLOSSER	Thank you.	5	5
201501	17	2015-01-28	meeting	FISHER	Thank you.	5	5
201501	18	2015-01-28	meeting		[Applause]	5	5
201501	19	2015-01-28	meeting	YELLEN	Now let’s turn to our first agenda item, which is the election of Committee officers.	3	3
201501	20	2015-01-28	meeting	YELLEN	Following long-established precedent, I’m going to ask Governor Fischer to handle the nominations of Chair and Vice Chair.	3	3
201501	21	2015-01-28	meeting	FISCHER	Thank you.	3	3
201501	22	2015-01-28	meeting	FISCHER	I’ll be calling for two sets of nominations and votes.	3	3
201501	23	2015-01-28	meeting	FISCHER	First, I’d like to ask for a nomination for Committee Chair.	3	3
201501	24	2015-01-28	meeting	TARULLO	I nominate Janet Yellen.	3	3
201501	25	2015-01-28	meeting	FISCHER	Is there a second?	3	3
201501	26	2015-01-28	meeting	POWELL	I second that nomination.	3	3
201501	27	2015-01-28	meeting	FISCHER	Any other nominations or discussion?	3	3
201501	28	2015-01-28	meeting	FISCHER	We should try it out.	3	3
201501	29	2015-01-28	meeting	FISCHER	[Laughter]	3	3
201501	30	2015-01-28	meeting	FISCHER	Without objection.	3	3
201501	31	2015-01-28	meeting	FISCHER	Now I’d like to ask for a nomination for the position of Committee Vice Chair.	3	3
201501	32	2015-01-28	meeting	TARULLO	I nominate Bill Dudley.	3	3
201501	33	2015-01-28	meeting	FISCHER	Is there a second?	3	3
201501	34	2015-01-28	meeting	POWELL	I second that nomination.	3	3
201501	35	2015-01-28	meeting	FISCHER	Any other nominations or discussion?	3	3
201501	36	2015-01-28	meeting	FISCHER	[No response]	3	3
201501	37	2015-01-28	meeting	FISCHER	Without objection.	3	3
201501	38	2015-01-28	meeting	FISCHER	Madam Chair.	3	3
201501	39	2015-01-28	meeting	YELLEN	Thank you, Governor Fischer.	3	3
201501	40	2015-01-28	meeting	YELLEN	Now let’s turn to the election of staff officers.	3	3
201501	41	2015-01-28	meeting	YELLEN	Matt, I’d like to ask you to read the list.	3	3
201501	42	2015-01-28	meeting	LUECKE	For Secretary and Economist, Thomas Laubach; Deputy Secretary, Matthew Luecke; Assistant Secretaries, David Skidmore, effective February 2, 2015, and Michelle Smith; General Counsel, Scott Alvarez; Deputy General Counsel, Thomas Baxter; Assistant General Counsel, Richard Ashton; Economist, Steve Kamin; Economist, David Wilcox; Associate Economists from the Board, Thomas Connors, Eric Engen, Michael Leahy, William Nelson, and William Wascher; and Associate Economists from the Banks, Jonathan McCarthy, Daniel Sullivan, John Weinberg, David Altig, and Glen Rudebusch.	3	3
201501	43	2015-01-28	meeting	YELLEN	Any comments?	3	3
201501	44	2015-01-28	meeting	YELLEN	[No response]	3	3
