meeting	sequence	date	type	speaker	statement	newcode	mem_num
201607	0	2016-07-27	meeting	YELLEN	Okay.	50.0	65.0
201607	1	2016-07-27	meeting	YELLEN	We are all a couple of minutes early, but it looks like we’re ready to get going.	50.0	65.0
201607	2	2016-07-27	meeting	YELLEN	Today’s meeting, as usual, will be a joint meeting between the FOMC and the Board of Governors.	50.0	65.0
201607	3	2016-07-27	meeting	YELLEN	So I need a motion to close the Board meeting.	50.0	65.0
201607	4	2016-07-27	meeting	FISCHER	So moved.	50.0	108.0
201607	5	2016-07-27	meeting	YELLEN	Thank you.	50.0	65.0
201607	6	2016-07-27	meeting	YELLEN	Okay.	50.0	65.0
201607	7	2016-07-27	meeting	YELLEN	We’re going to begin with our first topic, “Long- Run Framework for Monetary Policy Implementation,” and let me ask Simon to start us off on this.	93.0	65.0
201607	8	2016-07-27	meeting	POTTER	Thank you, Madam Chair.	93.0	999.0
201607	9	2016-07-27	meeting	POTTER	We will be referring to the materials titled “Long-Run Framework for Monetary Policy Implementation.”	93.0	999.0
201607	10	2016-07-27	meeting	POTTER	The briefing today summarizes the work of three foundational workgroups on the foreign experience, lessons from the crisis, and money markets that was distributed to the Committee over the past few weeks.	93.0	999.0
201607	11	2016-07-27	meeting	POTTER	As you know, this is a System-wide effort with important contributions from a number of divisions of the Board and all of the Reserve Banks.	93.0	999.0
201607	12	2016-07-27	meeting	POTTER	Today, in addition to the presenters at the table—Brian Doyle, David Altig, and Beth Klee—we have Patricia Zobel, Ed Nosal, and Susan McLaughlin seated behind us, who were the co-leads for these presenters.	93.0	999.0
201607	13	2016-07-27	meeting	POTTER	They’ll also be available to answer questions.	93.0	999.0
201607	14	2016-07-27	meeting	POTTER	In slide 3 of your rather thick presentation package, you can see the key goals of the project that were agreed to almost one year ago.	93.0	999.0
201607	15	2016-07-27	meeting	POTTER	These goals have obviously been influenced by the experience of advanced-economy central banks over the past 10 years or so.	93.0	999.0
201607	16	2016-07-27	meeting	POTTER	The foundational workgroups were designed to put this experience into a structure that will feed into the two framework workgroups, which are focused on interest rate targets, operating regimes, and the balance sheet.	93.0	999.0
201607	17	2016-07-27	meeting	POTTER	Our current plan is for the framework workgroups to present their findings at the November meeting.	93.0	999.0
201607	18	2016-07-27	meeting	POTTER	The feedback that you will provide today and in November will inform the staff’s work on evaluating comprehensive frameworks that will be presented to the Committee further down the road.	93.0	999.0
201607	19	2016-07-27	meeting	POTTER	The next slide shows an additional set of objectives for alternative operating frameworks.	93.0	999.0
201607	20	2016-07-27	meeting	POTTER	Objective 2 on promoting efficient, effective, and resilient money 1 The materials used by Messrs.	93.0	999.0
201607	21	2016-07-27	meeting	POTTER	Potter, Doyle, and Altig and Mses.	93.0	999.0
201607	22	2016-07-27	meeting	POTTER	Klee and Remache are appended to this transcript (appendix 1). markets will be an important focus of the presentation today.	93.0	999.0
201607	23	2016-07-27	meeting	POTTER	As also noted on this slide, the Committee’s normalization principles and plans provide an additional set of criteria when it comes to the size and composition of the SOMA portfolio.	93.0	999.0
201607	24	2016-07-27	meeting	POTTER	Brian will now present on the foreign experience.	93.0	999.0
201607	25	2016-07-27	meeting	DOYLE	Thank you, Simon.	93.0	999.0
201607	26	2016-07-27	meeting	DOYLE	To start our presentations, I’m going to talk about monetary policy implementation elsewhere in the world.	93.0	999.0
201607	27	2016-07-27	meeting	DOYLE	The foreign experience workgroup, co-led by Patricia Zobel of the Federal Reserve Bank of New York, primarily surveyed the experience of nine advanced-economy central banks.	93.0	999.0
201607	28	2016-07-27	meeting	DOYLE	As noted on slide 6, this survey included how central banks implemented policy before the crisis, how the frameworks evolved since then, and some of the rationale for those frameworks.	93.0	999.0
201607	29	2016-07-27	meeting	DOYLE	In my limited time, I will just touch on some of the highlights from the memorandum that was circulated earlier.	93.0	999.0
201607	30	2016-07-27	meeting	DOYLE	As shown in your next slide, there is one finding that is perhaps useful to state right off the bat.	93.0	999.0
201607	31	2016-07-27	meeting	DOYLE	We don’t see dramatic differences in most central banks’ ability to control short-term money market rates or to transmit effects of monetary policy out to longer-term interest rates.	93.0	999.0
201607	32	2016-07-27	meeting	DOYLE	However, the wide variety of frameworks represents choices that central banks have made regarding how to achieve that control.	93.0	999.0
201607	33	2016-07-27	meeting	DOYLE	And a better understanding of these choices may be helpful, as they reflect decisions that these central banks made regarding tradeoffs along other dimensions.	93.0	999.0
201607	34	2016-07-27	meeting	DOYLE	What are the primary differences in these frameworks?	93.0	999.0
201607	35	2016-07-27	meeting	DOYLE	First, as noted in the first row of the table in slide 8, before the crisis, nearly all advanced-economy central banks communicated monetary policy with an overnight interest rate.	93.0	999.0
201607	36	2016-07-27	meeting	DOYLE	But what that rate was varied some.	93.0	999.0
201607	37	2016-07-27	meeting	DOYLE	A few central banks, like the Federal Reserve, used a target for a market rate.	93.0	999.0
201607	38	2016-07-27	meeting	DOYLE	Many others used an administered rate—that is, a rate pertaining to some operation that they themselves set.	93.0	999.0
201607	39	2016-07-27	meeting	DOYLE	Even in these latter cases, central banks often made reference to a market rate.	93.0	999.0
201607	40	2016-07-27	meeting	DOYLE	The market rates were usually unsecured rates.	93.0	999.0
201607	41	2016-07-27	meeting	DOYLE	Inn a couple of cases, however, they were secured rates.	93.0	999.0
201607	42	2016-07-27	meeting	DOYLE	As shown in your next slide, how central banks controlled money market rates also varied.	93.0	999.0
201607	43	2016-07-27	meeting	DOYLE	Before the crisis, most used “corridor” regimes, supplying reserves to meet banks’ demand at the policy rate and generally using lending and deposit facilities to create a ceiling and a floor.	93.0	999.0
201607	44	2016-07-27	meeting	DOYLE	Within this group, most central banks had some form of reserve requirements to foster a stable demand for reserves.	93.0	999.0
201607	45	2016-07-27	meeting	DOYLE	A few central banks used “floor” regimes, providing sufficient liquidity for market rates to trade near the rate of interest that the central bank pays on deposits or reserves.	93.0	999.0
201607	46	2016-07-27	meeting	DOYLE	After the crisis began, how central banks implemented policy shifted.	93.0	999.0
201607	47	2016-07-27	meeting	DOYLE	Unconventional policies, including large-scale asset programs not only of government, but in some cases private-sector assets; long-term funding programs, such as those of the ECB; and, most recently, negative interest rates, in some cases became the primary means of implementing and communicating policy.	93.0	999.0
201607	48	2016-07-27	meeting	DOYLE	And, as indicated by the arrows in the chart, as central banks injected more liquidity under some of these programs, corridor systems in many instances became de facto floor systems.	93.0	999.0
201607	49	2016-07-27	meeting	DOYLE	As shown on the next slide, the distinctions between corridor and floor regimes have become blurred a little in recent years, as central banks changed how they remunerate reserves and gave banks a wider degree of choice over how many reserves to hold.	93.0	999.0
201607	50	2016-07-27	meeting	DOYLE	To encourage interbank trading and reduce banks’ hoarding of reserves, central banks using floors began to pay a lower rate on reserves above some threshold or quota—“tiered remuneration.”	93.0	999.0
201607	51	2016-07-27	meeting	DOYLE	This “tiering” is also similar to what has been seen more recently with negative policy rates at the Swiss National Bank and the Bank of Japan, albeit for a very different reason—that is, to limit the costs for banks of holding reserves.	93.0	999.0
201607	52	2016-07-27	meeting	DOYLE	And, before the crisis, the Bank of England implemented a corridor regime in which banks could choose their own target for reserves—a “voluntary reserves target”—reducing some of the costs associated with reserve requirements.	93.0	999.0
201607	53	2016-07-27	meeting	DOYLE	These regimes influence the nature of activity in money markets, as highlighted on the next slide.	93.0	999.0
201607	54	2016-07-27	meeting	DOYLE	Systems characterized by scarce excess reserves generally feature robust interbank trading.	93.0	999.0
201607	55	2016-07-27	meeting	DOYLE	In floor systems that featured quotas, in conditions of still- abundant reserves, money market trading is largely between banks that are above their quotas and banks that are below.	93.0	999.0
201607	56	2016-07-27	meeting	DOYLE	Likewise, currently in Japan and the United Kingdom, money market trading is largely between nonbank participants without access to remunerated accounts and banks with access.	93.0	999.0
201607	57	2016-07-27	meeting	DOYLE	In these economies, as shown in the figure, money market rates trade below the rate on reserves, as is the case in the United States (the red line).	93.0	999.0
201607	58	2016-07-27	meeting	DOYLE	Some central banks view arbitrage activity created by remuneration systems as meaningful and robust, while others view activity created by reserve scarcity as providing more insight into money market conditions.	93.0	999.0
201607	59	2016-07-27	meeting	DOYLE	Turning the page, another observation from the foreign experience is that central banks have added counterparties and accepted a wider range of collateral during the crisis (or already had broad sets of both) and expect to keep those broader sets.	93.0	999.0
201607	60	2016-07-27	meeting	DOYLE	For some central banks, this broadening of counterparties has included nonbank entities, including financial market utilities.	93.0	999.0
201607	61	2016-07-27	meeting	DOYLE	The main reason for the expansion during the crisis was a desire to provide liquidity to parts of the financial system that were “cut off.”	93.0	999.0
201607	62	2016-07-27	meeting	DOYLE	But some foreign central banks also see advantages in reducing competitive distortions created by conferring counterparty status on a narrow group and in the enhanced information that they receive about interacting with a number of institutions.	93.0	999.0
201607	63	2016-07-27	meeting	DOYLE	That said, central banks acknowledge that broader policy comes with costs—increased operational costs, the potential to reduce private market activity— and that accepting a wider set of collateral could create some moral hazard if it encourages banks to hold riskier assets.	93.0	999.0
201607	64	2016-07-27	meeting	DOYLE	The next slide, slide 13, notes that a few central banks see liquidity insurance— the readiness to provide broad-based liquidity in the case of a shock—as distinct from either monetary policy implementation or emergency lending and have different operations to meet those separate objectives.	93.0	999.0
201607	65	2016-07-27	meeting	DOYLE	The Bank of England views liquidity insurance as operations with clear criteria for use and broad access, and its scheme allows financial institutions to obtain reserves or liquid assets for less liquid assets.	93.0	999.0
201607	66	2016-07-27	meeting	DOYLE	They view the clarity about the purpose of these operations as, it is hoped, reducing stigma and clarity about when these facilities would be used as limiting contagion during stress events.	93.0	999.0
201607	67	2016-07-27	meeting	DOYLE	That said, although some central banks provide greater clarity about their plans to employ such operations in stress events, others prefer some ambiguity about the circumstances of when they would use such operations.	93.0	999.0
201607	68	2016-07-27	meeting	DOYLE	Turning to your next slide, foreign central banks are still considering other features of their long-run frameworks.	93.0	999.0
201607	69	2016-07-27	meeting	DOYLE	For example, most central banks think that they should be ready to use unconventional policies if needed and expect to maintain some operational preparedness.	93.0	999.0
201607	70	2016-07-27	meeting	DOYLE	And central banks have diverse views about the appropriate size and composition of their balance sheets in the long run.	93.0	999.0
201607	71	2016-07-27	meeting	DOYLE	Many central banks that have expanded their balance sheets with asset purchases in recent years hope to return to some form of smaller balance sheet in the future.	93.0	999.0
201607	72	2016-07-27	meeting	DOYLE	But they also acknowledge that higher demand for reserves by banks may leave their balance sheets larger than before the crisis.	93.0	999.0
201607	73	2016-07-27	meeting	DOYLE	Some have also noted that exceptionally large balance sheets can complicate relationships with fiscal authorities.	93.0	999.0
201607	74	2016-07-27	meeting	DOYLE	As highlighted in the final slide for this portion of the presentation, most central banks are still learning about how they should adapt policy implementation to the effects of new regulations.	93.0	999.0
201607	75	2016-07-27	meeting	DOYLE	But one effect that most central banks do expect is that demand for reserves will increase.	93.0	999.0
201607	76	2016-07-27	meeting	DOYLE	Excess reserves qualify as high-quality liquid assets (HQLA) under the Liquidity Coverage Ratio (LCR), and getting excess reserves for less liquid collateral (where possible) boosts the LCR.	93.0	999.0
201607	77	2016-07-27	meeting	DOYLE	Central banks are split on how they should complement this effect.	93.0	999.0
201607	78	2016-07-27	meeting	DOYLE	The Reserve Bank of Australia introduced a facility to help banks meet this demand in some instances, in part because Australia has a low stock of government debt.	93.0	999.0
201607	79	2016-07-27	meeting	DOYLE	Other central banks will only take HQLA as collateral or are considering making changes to the costs of reserves to discourage banks from relying on the central bank to meet the LCR.	93.0	999.0
201607	80	2016-07-27	meeting	DOYLE	I’ll now turn to Dave Altig, who will turn the focus back “stateside” and share some lessons from the crisis.	93.0	999.0
201607	81	2016-07-27	meeting	ALTIG	Thanks, Brian.	93.0	999.0
201607	82	2016-07-27	meeting	ALTIG	The task of the lessons from the financial crisis workgroup was to evaluate the performance of the Federal Reserve’s monetary policy implementation framework during the period of the financial crisis, which we defined as running from August 2007 to May 2009.	93.0	999.0
201607	83	2016-07-27	meeting	ALTIG	Slide 17 provides several metrics pertaining to stress in various funding markets during this time frame.	93.0	999.0
201607	84	2016-07-27	meeting	ALTIG	There is disagreement among scholars as to the relative roles of illiquidity, counterparty concerns, and asset-risk repricing as drivers of these spreads, and in the memo, we review the research literature devoted to disentangling these effects.	93.0	999.0
201607	85	2016-07-27	meeting	ALTIG	Our reading of the literature suggests that all three elements were at play during the crisis, but we emphasize that our analysis was not aimed at evaluating the necessity or the efficacy of specific tools.	93.0	999.0
201607	86	2016-07-27	meeting	ALTIG	Our objective was to assess the efficacy of the pre-crisis framework in supporting the implementation of these tools once a policy course was chosen.	93.0	999.0
201607	87	2016-07-27	meeting	ALTIG	As described by slide 18, the pre-crisis framework can be summarized as follows: One, rate control was based on reserve scarcity.	93.0	999.0
201607	88	2016-07-27	meeting	ALTIG	The level of excess reserves was minimal, and the banking system operated on the downward-sloping part of its net demand curve.	93.0	999.0
201607	89	2016-07-27	meeting	ALTIG	The Desk supplied reserves to meet demand through daily open market operations in order to manage the effective federal funds rate to the FOMC’s target.	93.0	999.0
201607	90	2016-07-27	meeting	ALTIG	Two, liquidity was provided through two tools.	93.0	999.0
201607	91	2016-07-27	meeting	ALTIG	Daily monetary policy operations provided liquidity to the banking system via repurchase agreements with primary dealers against government securities, and Reserve Banks made discount window, or primary credit, loans to individual depository institutions collateralized by a broad set of assets.	93.0	999.0
201607	92	2016-07-27	meeting	ALTIG	And, three, the portfolio was not a policy tool.	93.0	999.0
201607	93	2016-07-27	meeting	ALTIG	The portfolio was simply a byproduct of the various activities the Federal Reserve undertook as part of its implementation framework.	93.0	999.0
201607	94	2016-07-27	meeting	ALTIG	SOMA holdings were sized nearly equal to, and over time grew at the same rate as, the quantity of currency in circulation.	93.0	999.0
201607	95	2016-07-27	meeting	ALTIG	The portfolio’s size was maintained by reinvesting the proceeds of maturing securities; portfolio growth occurred through outright purchases of Treasury securities.	93.0	999.0
201607	96	2016-07-27	meeting	ALTIG	It’s worth noting that before the crisis, stress events had been moderate in both the duration and scale of their effect on the Federal Reserve’s balance sheet and had been managed adequately through the pre-crisis framework’s combination of traditional open market operations and discount window lending.	93.0	999.0
201607	97	2016-07-27	meeting	ALTIG	The 2007–09 crisis represented an unprecedented stress test of the pre-crisis framework.	93.0	999.0
201607	98	2016-07-27	meeting	ALTIG	The nature of the pain points that were revealed and experience with new tools introduced to address these shortcomings form the foundation of our analysis.	93.0	999.0
201607	99	2016-07-27	meeting	ALTIG	I’ll highlight five key takeaways from our review of the crisis.	93.0	999.0
201607	100	2016-07-27	meeting	ALTIG	These lessons, many of which will be quite familiar, were informed by research studies, transcripts of FOMC meetings, archival MarketSource commentary, and the recollections of Federal Reserve staff actively involved in policy implementation during that time.	93.0	999.0
201607	101	2016-07-27	meeting	ALTIG	Our list of lessons begins on slide 19 with the observation that, in the absence of IOER and adequate reserve draining tools, the pre-crisis “reserve scarcity” framework set up a tradeoff between interest-rate control and large-scale liquidity provision, a tension that persisted until that framework was effectively abandoned post-Lehman.	93.0	999.0
201607	102	2016-07-27	meeting	ALTIG	As the chart on this slide illustrates, most of the liquidity provision programs implemented over the course of the crisis represented additions to the Federal Reserve’s balance sheet.	93.0	999.0
201607	103	2016-07-27	meeting	ALTIG	In the absence of the ability to pay interest on reserves, maintaining rate control required the Open Market Desk to keep the level of reserves in a relatively narrow band.	93.0	999.0
201607	104	2016-07-27	meeting	ALTIG	This meant that additions to reserves or liquidity arising from various liquidity programs required offsetting reductions in reserves, or “sterilization.”	93.0	999.0
201607	105	2016-07-27	meeting	ALTIG	Reserve draining prior to the crisis relied primarily on redemptions of maturing securities.	93.0	999.0
201607	106	2016-07-27	meeting	ALTIG	This strategy for draining reserves became increasingly inadequate following the collapse of Bear Stearns, as redemption capacity hit its limit and liquidity programs expanded.	93.0	999.0
201607	107	2016-07-27	meeting	ALTIG	Our second conclusion, noted on the next slide, is that the two pre-crisis liquidity tools, open market operations and the discount window, were themselves not adequate to provide the type of large-scale liquidity insurance that was needed during the crisis.	93.0	999.0
201607	108	2016-07-27	meeting	ALTIG	Open market operations and discount window lending were confined to limited sets of counterparties and, particularly in the case of open market operations, collateral types.	93.0	999.0
201607	109	2016-07-27	meeting	ALTIG	Other tools had to be created to overcome their limitations—for example, highlighted in green text on this slide, the Term Auction Facility (or TAF) was introduced to circumvent the stigma problem associated with the discount window.	93.0	999.0
201607	110	2016-07-27	meeting	ALTIG	FX swap lines with foreign central banks were activated to address broader global demand for dollar funding in order to contain spillover to domestic markets.	93.0	999.0
201607	111	2016-07-27	meeting	ALTIG	The schematic on slide 20 emphasizes that the broadly based 13(3) facilities implemented in 2008, highlighted in blue text, supported policy transmission by reaching counterparties and collateral types beyond our normal monetary policy operating framework of the time.	93.0	999.0
201607	112	2016-07-27	meeting	ALTIG	The chart on slide 21 illustrates our third takeaway.	93.0	999.0
201607	113	2016-07-27	meeting	ALTIG	Although the federal funds effective rate was successfully managed to the policy target for most of the period before Lehman, intraday rate volatility was elevated throughout the crisis period and posed an ongoing challenge to policy implementation.	93.0	999.0
201607	114	2016-07-27	meeting	ALTIG	Intraday volatility emerged early in the crisis as aggressive foreign bank demand in the morning gave way to weak domestic demand in the afternoon.	93.0	999.0
201607	115	2016-07-27	meeting	ALTIG	The primary credit rate turned out to be a very “leaky” ceiling; once implemented, the IOER turned out to be a leaky floor.	93.0	999.0
201607	116	2016-07-27	meeting	ALTIG	The lack of a firm ceiling or floor complicated the day-to-day task of policy implementation.	93.0	999.0
201607	117	2016-07-27	meeting	ALTIG	Our fourth takeaway is spelled out on slide 22:  The System was not well prepared to implement large-scale asset purchases once the funds rate hit the effective lower bound.	93.0	999.0
201607	118	2016-07-27	meeting	ALTIG	In particular, there was a significant degree of “on-the-job learning” in order to develop a purchase program.	93.0	999.0
201607	119	2016-07-27	meeting	ALTIG	The learning process and implementation took time, reflecting the lack of preexisting arrangements to support these transactions.	93.0	999.0
201607	120	2016-07-27	meeting	ALTIG	Finally, as also noted on slide 22, the pre-crisis framework was not sufficiently robust or flexible in the face of significant liquidity stress and disruptions to the monetary transmission mechanisms.	93.0	999.0
201607	121	2016-07-27	meeting	ALTIG	For example, the growth of offshore intermediation in US dollars shown on slide 23 and the expansion of nonbank intermediation shown on slide 24 introduced new linkages across market segments, which expanded the channels of monetary transmission.	93.0	999.0
201607	122	2016-07-27	meeting	ALTIG	The pre-crisis framework was not designed with these secular developments in mind and proved inadequate when these new channels were disrupted.	93.0	999.0
201607	123	2016-07-27	meeting	ALTIG	Notably, the FOMC has already decided to retain standing swap arrangements with the Bank of England, the Bank of Canada, the Bank of Japan, the ECB, and the Swiss National Bank and has used them since the crisis period.	93.0	999.0
201607	124	2016-07-27	meeting	ALTIG	Swap lines with these central banks have become part of the FOMC’s normal framework and represent an increase in the robustness of offshore market developments.	93.0	999.0
201607	125	2016-07-27	meeting	ALTIG	On slide 25, we summarize the timeline of tools implemented over the course of the crisis.	93.0	999.0
201607	126	2016-07-27	meeting	ALTIG	As indicated by the darker bars representing instruments created over the course of the crisis, the Federal Reserve was innovative in designing and implementing new tools to address emerging liquidity problems.	93.0	999.0
201607	127	2016-07-27	meeting	ALTIG	This, however, required venturing well beyond the core framework and investing heavily to overcome gaps in our existing knowledge and infrastructure.	93.0	999.0
201607	128	2016-07-27	meeting	ALTIG	The System lacked the flexibility to pull nonstandard tools off the shelf to address unusual market stress.	93.0	999.0
201607	129	2016-07-27	meeting	ALTIG	The ad hoc nature of the response to emerging stress prolonged the time it took to implement facilities in response and increased the System’s exposure to operational risks.	93.0	999.0
201607	130	2016-07-27	meeting	ALTIG	I’ll now turn the stage over to Beth Klee, who will summarize the work of the money markets group.	93.0	999.0
201607	131	2016-07-27	meeting	KLEE	Thanks, Dave.	93.0	999.0
201607	132	2016-07-27	meeting	KLEE	As detailed on slide 27, we now turn our focus to the set of short-term wholesale funding markets often referred to as money markets.	93.0	999.0
201607	133	2016-07-27	meeting	KLEE	Money markets collectively help determine short-term interest rates and are a key link in monetary policy transmission.	93.0	999.0
201607	134	2016-07-27	meeting	KLEE	These markets were at the center of many of the problems that arose in the financial crisis.	93.0	999.0
201607	135	2016-07-27	meeting	KLEE	To provide some background on the behavior of money markets, the next slide shows that prior to the financial crisis, major overnight money market rates— including those for CP, repo, federal funds, and Eurodollars—were highly correlated.	93.0	999.0
201607	136	2016-07-27	meeting	KLEE	Indeed, a statistical common factor can explain nearly 95 percent of the daily variation in these four interest rates from 2001 to 2006.	93.0	999.0
201607	137	2016-07-27	meeting	KLEE	In addition, money markets operated in a way that made it fairly easy for the Federal Reserve to implement monetary policy to keep the effective federal funds rate close to its target.	93.0	999.0
201607	138	2016-07-27	meeting	KLEE	In this way, the Federal Reserve’s ability to influence rates in the federal funds market allowed it to strongly influence rates in these related markets.	93.0	999.0
201607	139	2016-07-27	meeting	KLEE	As shown on the next slide, post-crisis, measured at high frequencies, money market rates may now be somewhat less tightly connected than in the past, although they still retain a high degree of pass-through.	93.0	999.0
201607	140	2016-07-27	meeting	KLEE	In particular, the share of daily variation explained by a common factor has declined to about 85 percent from 2010 to 2015, suggesting that there are somewhat looser linkages and greater dispersion across these money market rates than there were in the pre-crisis period.	93.0	999.0
201607	141	2016-07-27	meeting	KLEE	Although it is difficult to identify precisely all of the factors that have led to this change in the behavior of money market rates, the memo focused on three.	93.0	999.0
201607	142	2016-07-27	meeting	KLEE	Specifically, as shown on slide 30, since the crisis, significant changes in the Federal Reserve’s monetary policy implementation framework, the business practices of some market participants, and new regulations have left an imprint on money markets.	93.0	999.0
201607	143	2016-07-27	meeting	KLEE	Today we’ll highlight a few key themes of the memo.	93.0	999.0
